trip_id;arrival_time;departure_time;stop_id;stop_sequence
A1;07:01:00;07:01:00;12;12
A2;07:29:45;07:29:45;12;12
A3;07:59:45;07:59:45;12;12
A4;08:29:45;08:29:45;12;12
A5;09:07:00;09:07:00;12;12
A6;09:33:36;09:33:36;12;12
A7;10:03:30;10:03:30;12;12
A8;10:33:30;10:33:30;12;12
A9;11:03:00;11:03:00;12;12
A10;11:35:00;11:35:00;12;12
A11;12:03:36;12:03:36;12;12
A12;12:33:15;12:33:15;12;12
A13;13:03:15;13:03:15;12;12
A14;13:42:20;13:42:20;12;12
A15;14:07:15;14:07:15;12;12
A16;14:40:12;14:40:12;12;12
A17;15:09:15;15:09:15;12;12
A18;15:36:15;15:36:15;12;12
A19;16:33:48;16:33:48;12;12
A20;16:33:48;16:33:48;12;12
A21;17:03:48;17:03:48;12;12
A22;17:34:15;17:34:15;12;12
A23;18:04:45;18:04:45;12;12
A24;18:39:40;18:39:40;12;12
A25;19:05:24;19:05:24;12;12
A26;19:33:34;19:33:34;12;12
A27;20:06:30;20:06:30;12;12
A28;20:35:30;20:35:30;12;12
A29;21:14:20;21:14:20;12;12
A30;21:34:30;21:34:30;12;12
A31;22:04:30;22:04:30;12;12
A32;22:34:30;22:34:30;12;12
A33;09:16:00;09:16:00;12;12
A34;10:18:00;10:18:00;12;12
A35;11:18:00;11:18:00;12;12
A36;12:45:00;12:45:00;12;12
A37;13:21:00;13:21:00;12;12
A38;14:21:00;14:21:00;12;12
A39;15:19:00;15:19:00;12;12
A40;16:19:00;16:19:00;12;12
A41;17:19:00;17:19:00;12;12
A42;18:21:00;18:21:00;12;12
A43;19:21:00;19:21:00;12;12
A44;20:20:00;20:20:00;12;12
A45;21:20:00;21:20:00;12;12
A46;22:23:00;22:23:00;12;12
A47;10:31:30;10:31:30;12;12
A48;14:31:30;14:31:30;12;12
A49;17:33:00;17:33:00;12;12
A50;20:33:30;20:33:30;12;12
A51;22:32:00;22:32:00;12;12
B1;00:39:00;00:39:00;12;29
B2;01:39:00;01:39:00;12;29
B3;02:39:00;02:39:00;12;29
B4;03:39:00;03:39:00;12;29
B5;00:39:00;00:39:00;12;29
B6;01:39:00;01:39:00;12;29
B7;02:39:00;02:39:00;12;29
B8;03:39:00;03:39:00;12;29
B9;05:09:00;05:09:00;12;29
R1;07:00:36;07:00:36;12;28
R2;07:30:36;07:30:36;12;28
R3;08:06:30;08:06:30;12;28
R4;08:40:12;08:40:12;12;28
R5;09:06:30;09:06:30;12;28
R6;09:37:15;09:37:15;12;28
R7;10:07:15;10:07:15;12;28
R8;10:36:00;10:36:00;12;28
R9;11:06:00;11:06:00;12;28
R10;11:35:30;11:35:30;12;28
R11;12:10:30;12:10:30;12;28
R12;12:41:00;12:41:00;12;28
R13;13:11:30;13:11:30;12;28
R14;13:39:00;13:39:00;12;28
R15;14:12:30;14:12:30;12;28
R16;14:49:00;14:49:00;12;28
R17;15:19:40;15:19:40;12;28
R18;15:39:12;15:39:12;12;28
R19;16:09:12;16:09:12;12;28
R20;16:38:05;16:38:05;12;28
R21;17:06:00;17:06:00;12;28
R22;17:41:20;17:41:20;12;28
R23;18:08:50;18:08:50;12;28
R24;18:37:58;18:37:58;12;28
R25;19:11:18;19:11:18;12;28
R26;19:39:00;19:39:00;12;28
R27;20:12:20;20:12:20;12;28
R28;20:37:45;20:37:45;12;28
R29;21:07:36;21:07:36;12;28
R30;21:37:45;21:37:45;12;28
R31;22:03:30;22:03:30;12;28
R32;22:33:30;22:33:30;12;28
R33;23:02:00;23:02:00;12;28
R34;09:04:00;09:04:00;12;28
R35;10:03:00;10:03:00;12;28
R36;11:08:00;11:08:00;12;28
R37;12:08:00;12:08:00;12;28
R38;13:08:00;13:08:00;12;28
R39;14:14:00;14:14:00;12;28
R40;15:13:00;15:13:00;12;28
R41;16:13:00;16:13:00;12;28
R42;17:13:00;17:13:00;12;28
R43;18:13:00;18:13:00;12;28
R44;00:00:00;00:00:00;12;28
R45;20:12:00;20:12:00;12;28
R46;21:12:00;21:12:00;12;28
R47;22:12:00;22:12:00;12;28
R48;23:12:00;23:12:00;12;28
R49;09:50:00;09:50:00;12;28
R50;12:49:30;12:49:30;12;28
R51;16:52:00;16:52:00;12;28
R52;19:51:00;19:51:00;12;28
R53;21:47:30;21:47:30;12;28
V1I;07:02:00;07:02:00;12;6
V1V;14:54:00;14:54:00;12;11
