trip_id;arrival_time;departure_time;stop_id;stop_sequence;stop_headsign;pickup_type;drop_off_type;timepoint
A1;07:22;07:22;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A2;07:50;07:50;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A3;08:19;08:19;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A4;08:49;08:49;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A5;09:19;09:19;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A6;09:50;09:50;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A7;10:20;10:20;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A8;10:50;10:50;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A9;11:20;11:20;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A10;11:56;11:56;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A11;12:21;12:21;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A12;12:50;12:50;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A13;13:21;13:21;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A14;13:51;13:51;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A15;14:21;14:21;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A16;15:02;15:02;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A17;15:21;15:21;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A18;15:51;15:51;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A19;16:20;16:20;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A20;16:50;16:50;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A21;17:21;17:21;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A22;17:51;17:51;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A23;18:21;18:21;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A24;18:51;18:51;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A25;19:21;19:21;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A26;19:51;19:51;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A27;20:21;20:21;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A28;20:50;20:50;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A29;21:19;21:19;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A30;21:49;21:49;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A31;22:19;22:19;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A32;22:49;22:49;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A33;09:34;09:34;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A34;10:34;10:34;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A35;11:34;11:34;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A36;12:34;12:34;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A37;13:34;13:34;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A38;14:34;14:34;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A39;15:34;15:34;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A40;16:34;16:34;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A41;17:34;17:34;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A42;18:34;18:34;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A43;19:34;19:34;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A44;20:34;20:34;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A45;21:34;21:34;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A46;22:34;22:34;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A47;13:49;13:49;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A48;14:50;14:50;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A49;17:50;17:50;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A50;20:50;20:50;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
A51;22:51;22:51;25;26;La Vega-Arroyo-La Flecha-VA;0;0;0
